id,bi_sponsor_bi,bi_sponsor_count,cosponsor_count,cosponsor_normalized,cosponsor_rank,dw_nominate,missed_votes_pct,name,party,seniority,sponsor_count,sponsor_normalized,sponsor_rank,state,top_cosponsor_subjects,top_sponsor_subjects,total_votes,votes_with_party_pct,color,size,bi_pct,chamber,congress
C001047,9,13,176,0.787893135904,25,0.258,0.99,Shelley Capito,R,3,13,0.410256410256,41,WV,"[(Health, 43), (Taxation, 12), (Crime and law enforcement, 12), (Armed forces and national security, 11), (Environmental protection, 10)]","[(Taxation, 3), (Health, 3), (Sports and recreation, 2), (Environmental protection, 2), (Energy, 2)]",303.0,97.67,red,20,0.692307692308,senate,115
U000039,3,28,180,0.733376068376,30,-0.456,1.32,Tom Udall,D,10,28,0.75,25,NM,"[(Government operations and politics, 24), (Health, 19), (Armed forces and national security, 15), (Taxation, 14), (Crime and law enforcement, 12)]","[(Native Americans, 5), (Government operations and politics, 5), (Armed forces and national security, 3), (Environmental protection, 3), (Commerce, 2)]",303.0,92.31,blue,20,0.107142857143,senate,115
B001277,6,40,359,0.766295264624,22,-0.418,0.33,Richard Blumenthal,D,7,40,0.6225,42,CT,"[(Health, 50), (Armed forces and national security, 44), (Crime and law enforcement, 38), (International affairs, 26), (Government operations and politics, 22)]","[(Armed forces and national security, 7), (Transportation and public works, 7), (Crime and law enforcement, 5), (None, 5), (Health, 3)]",303.0,91.72,blue,20,0.15,senate,115
S001202,0,4,84,0.682269119769,49,,3.7,Luther Strange,R,1,4,0.333333333333,48,AL,"[(Crime and law enforcement, 12), (Health, 12), (Labor and employment, 7), (Armed forces and national security, 7), (Environmental protection, 6)]","[(Crime and law enforcement, 1), (Armed forces and national security, 1), (Civil rights and liberties, minority issues, 1), (Immigration, 1)]",243.0,96.58,red,20,0.0,senate,115
M001111,4,28,191,0.794019331454,13,-0.342,0.0,Patty Murray,D,25,28,0.696428571429,33,WA,"[(Armed forces and national security, 24), (Government operations and politics, 17), (Health, 14), (Taxation, 14), (Public lands and natural resources, 14)]","[(Education, 7), (Labor and employment, 6), (Armed forces and national security, 3), (Health, 3), (Government operations and politics, 1)]",303.0,96.7,blue,20,0.142857142857,senate,115
W000437,18,28,150,0.741666666667,41,0.376,0.33,Roger Wicker,R,11,28,0.505952380952,19,MS,"[(Health, 27), (Taxation, 12), (International affairs, 12), (Armed forces and national security, 11), (Labor and employment, 10)]","[(Science, technology, communications, 6), (Finance and financial sector, 4), (Public lands and natural resources, 4), (International affairs, 3), (Environmental protection, 3)]",303.0,98.68,red,20,0.642857142857,senate,115
P000603,8,29,73,0.729659609797,44,0.882,3.96,Rand Paul,R,7,29,0.344827586207,46,KY,"[(Crime and law enforcement, 11), (Congress, 6), (Taxation, 6), (Finance and financial sector, 6), (Health, 6)]","[(Crime and law enforcement, 5), (Government operations and politics, 4), (International affairs, 4), (Economics and public finance, 3), (Transportation and public works, 2)]",303.0,86.94,red,20,0.275862068966,senate,115
R000595,31,54,237,0.747261645996,39,0.59,4.29,Marco Rubio,R,7,54,0.453703703704,34,FL,"[(International affairs, 66), (Armed forces and national security, 23), (Crime and law enforcement, 20), (Health, 19), (Finance and financial sector, 13)]","[(International affairs, 18), (Crime and law enforcement, 5), (Taxation, 4), (Government operations and politics, 3), (Armed forces and national security, 3)]",303.0,98.62,red,20,0.574074074074,senate,115
D000622,4,25,198,0.741773504274,26,-0.298,0.66,Tammy Duckworth,D,1,25,0.924,5,IL,"[(Health, 25), (Taxation, 20), (Government operations and politics, 15), (Crime and law enforcement, 15), (Labor and employment, 14)]","[(Armed forces and national security, 3), (Transportation and public works, 3), (Environmental protection, 3), (Immigration, 3), (Science, technology, communications, 3)]",303.0,91.69,blue,20,0.16,senate,115
M001169,3,21,165,0.664160839161,44,-0.311,0.66,Christopher Murphy,D,5,21,0.628571428571,41,CT,"[(International affairs, 21), (Health, 20), (Crime and law enforcement, 15), (Armed forces and national security, 13), (Government operations and politics, 13)]","[(Immigration, 4), (Finance and financial sector, 3), (Social welfare, 2), (International affairs, 2), (Armed forces and national security, 2)]",303.0,95.02,blue,20,0.142857142857,senate,115
C001113,2,4,134,0.885490815155,5,,2.64,Catherine Cortez Masto,D,1,4,0.6,45,NV,"[(Crime and law enforcement, 18), (Health, 13), (Civil rights and liberties, minority issues, 13), (Immigration, 11), (Armed forces and national security, 9)]","[(Science, technology, communications, 1), (None, 1), (Immigration, 1), (Transportation and public works, 1)]",303.0,90.51,blue,20,0.5,senate,115
B000575,23,29,159,0.795803951464,22,0.431,2.31,Roy Blunt,R,7,29,0.545977011494,15,MO,"[(Health, 22), (Taxation, 21), (Crime and law enforcement, 21), (Armed forces and national security, 13), (International affairs, 13)]","[(Health, 4), (Armed forces and national security, 4), (Taxation, 3), (Transportation and public works, 2), (International affairs, 2)]",303.0,98.31,red,20,0.793103448276,senate,115
R000605,10,28,150,0.806094276094,18,0.382,0.0,Mike Rounds,R,3,28,0.369047619048,44,SD,"[(Armed forces and national security, 28), (Health, 21), (Finance and financial sector, 15), (International affairs, 13), (Crime and law enforcement, 12)]","[(Armed forces and national security, 14), (Finance and financial sector, 5), (Native Americans, 2), (Government operations and politics, 1), (Taxation, 1)]",303.0,99.01,red,20,0.357142857143,senate,115
C001056,25,43,155,0.842440534376,12,0.497,0.0,John Cornyn,R,15,43,0.674418604651,8,TX,"[(Crime and law enforcement, 30), (Armed forces and national security, 19), (International affairs, 16), (Health, 11), (Labor and employment, 11)]","[(Crime and law enforcement, 11), (International affairs, 5), (Taxation, 4), (Health, 3), (Armed forces and national security, 3)]",303.0,99.01,red,20,0.581395348837,senate,115
I000055,16,22,121,0.780115201603,31,0.404,16.5,Johnny Isakson,R,13,22,0.454545454545,33,GA,"[(Taxation, 23), (Health, 22), (International affairs, 10), (Finance and financial sector, 9), (Crime and law enforcement, 8)]","[(Health, 5), (Armed forces and national security, 3), (Labor and employment, 3), (Public lands and natural resources, 3), (Congress, 2)]",303.0,98.42,red,20,0.727272727273,senate,115
S000148,0,6,121,0.786999364272,16,-0.35,0.0,Charles Schumer,D,19,6,1.0,1,NY,"[(Taxation, 14), (Health, 11), (Congress, 11), (International affairs, 11), (Crime and law enforcement, 10)]","[(Congress, 2), (None, 1), (Economics and public finance, 1), (Civil rights and liberties, minority issues, 1), (Water resources development, 1)]",303.0,94.39,blue,20,0.0,senate,115
H001042,8,35,223,0.760288030355,23,-0.492,1.98,Mazie Hirono,D,5,35,0.917142857143,6,HI,"[(Armed forces and national security, 31), (Health, 28), (Crime and law enforcement, 19), (Government operations and politics, 16), (Taxation, 15)]","[(Armed forces and national security, 7), (Health, 5), (Immigration, 4), (Civil rights and liberties, minority issues, 4), (Education, 3)]",303.0,92.59,blue,20,0.228571428571,senate,115
H001046,6,18,170,0.709830316742,35,-0.283,1.32,Martin Heinrich,D,5,18,0.683333333333,34,NM,"[(Health, 26), (Armed forces and national security, 19), (Public lands and natural resources, 16), (Taxation, 12), (Crime and law enforcement, 11)]","[(Public lands and natural resources, 4), (None, 2), (Energy, 2), (Emergency management, 1), (Government operations and politics, 1)]",303.0,94.31,blue,20,0.333333333333,senate,115
G000562,16,26,150,0.761144781145,33,0.456,0.0,Cory Gardner,R,3,26,0.525641025641,16,CO,"[(International affairs, 33), (Health, 20), (Taxation, 13), (Public lands and natural resources, 12), (Government operations and politics, 10)]","[(Public lands and natural resources, 6), (Government operations and politics, 4), (Energy, 4), (Congress, 3), (International affairs, 2)]",303.0,97.69,red,20,0.615384615385,senate,115
R000584,7,15,129,0.632428940568,52,0.631,0.33,Jim Risch,R,9,15,0.444444444444,37,ID,"[(Public lands and natural resources, 17), (Labor and employment, 12), (International affairs, 11), (Armed forces and national security, 10), (Health, 10)]","[(Commerce, 6), (Animals, 2), (Labor and employment, 2), (Public lands and natural resources, 2), (Government operations and politics, 1)]",303.0,96.36,red,20,0.466666666667,senate,115
S000770,6,24,202,0.72708492003,32,-0.327,1.32,Debbie Stabenow,D,17,24,0.6375,40,MI,"[(Health, 44), (Taxation, 25), (Armed forces and national security, 20), (International affairs, 13), (Public lands and natural resources, 12)]","[(Health, 7), (Taxation, 6), (Water resources development, 2), (Public lands and natural resources, 2), (Government operations and politics, 1)]",303.0,93.98,blue,20,0.25,senate,115
P000612,5,11,143,0.755968778696,35,0.659,0.33,David Perdue,R,3,11,0.772727272727,5,GA,"[(International affairs, 20), (Finance and financial sector, 15), (Crime and law enforcement, 14), (Armed forces and national security, 13), (Health, 12)]","[(Finance and financial sector, 4), (Government operations and politics, 1), (Crime and law enforcement, 1), (None, 1), (Armed forces and national security, 1)]",303.0,97.35,red,20,0.454545454545,senate,115
L000577,8,29,99,0.660621365167,51,0.921,0.33,Mike Lee,R,7,29,0.344827586207,46,UT,"[(Crime and law enforcement, 15), (Health, 10), (Government operations and politics, 7), (Finance and financial sector, 7), (Taxation, 6)]","[(Crime and law enforcement, 5), (Economics and public finance, 3), (Labor and employment, 3), (International affairs, 3), (Commerce, 2)]",303.0,91.39,red,20,0.275862068966,senate,115
L000575,3,20,105,0.776984126984,32,0.562,0.0,James Lankford,R,3,20,0.466666666667,26,OK,"[(Crime and law enforcement, 17), (Government operations and politics, 11), (Health, 8), (Native Americans, 8), (Finance and financial sector, 7)]","[(Government operations and politics, 11), (Taxation, 2), (International affairs, 2), (Health, 2), (Congress, 1)]",303.0,96.7,red,20,0.15,senate,115
J000293,11,22,95,0.752312599681,38,0.594,0.33,Ron Johnson,R,7,22,0.787878787879,4,WI,"[(Government operations and politics, 15), (International affairs, 12), (Crime and law enforcement, 10), (Health, 8), (Congress, 6)]","[(Government operations and politics, 6), (Crime and law enforcement, 3), (Labor and employment, 2), (Animals, 1), (Congress, 1)]",303.0,98.01,red,20,0.5,senate,115
H001076,3,6,230,0.704289297659,38,,0.0,Margaret Hassan,D,1,6,0.8,20,NH,"[(Health, 31), (Crime and law enforcement, 23), (Taxation, 21), (Government operations and politics, 20), (Armed forces and national security, 18)]","[(Emergency management, 1), (Government operations and politics, 1), (Taxation, 1), (Transportation and public works, 1), (Health, 1)]",303.0,96.04,blue,20,0.5,senate,115
C000880,11,24,117,0.793339376673,23,0.507,0.0,Michael Crapo,R,19,24,0.361111111111,45,ID,"[(Crime and law enforcement, 16), (Armed forces and national security, 15), (Public lands and natural resources, 14), (Health, 10), (Energy, 7)]","[(Finance and financial sector, 4), (Taxation, 4), (Health, 3), (Armed forces and national security, 3), (Public lands and natural resources, 2)]",303.0,97.36,red,20,0.458333333333,senate,115
D000607,16,21,131,1.0,1,-0.12,1.65,Joe Donnelly,D,5,21,0.857142857143,11,IN,"[(Health, 27), (Taxation, 17), (Armed forces and national security, 14), (Finance and financial sector, 10), (Labor and employment, 7)]","[(Armed forces and national security, 3), (Health, 3), (Finance and financial sector, 2), (Agriculture and food, 2), (Native Americans, 1)]",303.0,82.21,blue,20,0.761904761905,senate,115
M000355,9,24,41,0.920916481892,3,0.404,0.0,Mitch McConnell,R,33,24,0.736111111111,6,KY,"[(Labor and employment, 7), (Crime and law enforcement, 6), (Education, 4), (Congress, 3), (Finance and financial sector, 3)]","[(Congress, 16), (Government operations and politics, 2), (Economics and public finance, 1), (Energy, 1), (International affairs, 1)]",303.0,98.35,red,20,0.375,senate,115
C001070,23,43,200,0.783480769231,18,-0.298,0.0,Bob Casey,D,11,43,0.767441860465,24,PA,"[(Health, 30), (Taxation, 24), (International affairs, 20), (Crime and law enforcement, 18), (Armed forces and national security, 17)]","[(Health, 10), (Taxation, 8), (Labor and employment, 7), (Education, 3), (Crime and law enforcement, 2)]",303.0,97.03,blue,20,0.53488372093,senate,115
C001071,6,11,34,0.938651218063,2,0.391,0.99,Bob Corker,R,11,11,0.833333333333,2,TN,"[(Crime and law enforcement, 7), (Congress, 4), (Taxation, 3), (International affairs, 3), (Health, 3)]","[(International affairs, 9), (Armed forces and national security, 1), (Congress, 1)]",303.0,95.33,red,20,0.545454545455,senate,115
C001075,16,34,104,0.734751359751,42,0.453,0.33,Bill Cassidy,R,3,34,0.401960784314,42,LA,"[(Health, 21), (Crime and law enforcement, 13), (International affairs, 10), (Education, 9), (Public lands and natural resources, 8)]","[(Armed forces and national security, 7), (Health, 7), (Energy, 6), (Public lands and natural resources, 3), (Taxation, 3)]",303.0,98.34,red,20,0.470588235294,senate,115
M001183,15,27,134,0.881730769231,6,-0.063,0.0,Joe Manchin,D,9,27,0.822222222222,15,WV,"[(Armed forces and national security, 26), (Health, 17), (Crime and law enforcement, 13), (Public lands and natural resources, 10), (International affairs, 10)]","[(Health, 6), (Armed forces and national security, 5), (Energy, 4), (Labor and employment, 3), (Science, technology, communications, 2)]",303.0,73.93,blue,20,0.555555555556,senate,115
B001267,14,28,178,0.776998703544,19,-0.208,0.33,Michael Bennet,D,9,28,0.621428571429,44,CO,"[(Health, 30), (Taxation, 20), (International affairs, 17), (Public lands and natural resources, 16), (Armed forces and national security, 14)]","[(Public lands and natural resources, 5), (Taxation, 4), (Environmental protection, 3), (None, 3), (Emergency management, 2)]",303.0,92.38,blue,20,0.5,senate,115
B001261,8,19,94,0.719670105308,45,0.528,0.33,John Barrasso,R,11,19,0.561403508772,13,WY,"[(Health, 11), (Finance and financial sector, 10), (Taxation, 9), (Environmental protection, 9), (Crime and law enforcement, 7)]","[(Public lands and natural resources, 5), (Water resources development, 3), (Energy, 2), (Animals, 1), (Congress, 1)]",303.0,98.34,red,20,0.421052631579,senate,115
S000320,2,6,35,0.911832611833,4,0.433,0.99,Richard Shelby,R,31,6,0.638888888889,9,AL,"[(Congress, 6), (Crime and law enforcement, 5), (Health, 4), (Immigration, 3), (International affairs, 3)]","[(Congress, 3), (Economics and public finance, 2), (Taxation, 1)]",303.0,97.67,red,20,0.333333333333,senate,115
F000463,13,24,95,0.787799043062,26,0.474,0.0,Deb Fischer,R,5,24,0.486111111111,23,NE,"[(Health, 16), (Crime and law enforcement, 8), (Government operations and politics, 8), (Taxation, 7), (Science, technology, communications, 7)]","[(Transportation and public works, 6), (Government operations and politics, 4), (Environmental protection, 4), (Taxation, 2), (Science, technology, communications, 2)]",303.0,97.69,red,20,0.541666666667,senate,115
K000367,29,52,320,0.799855769231,12,-0.239,0.0,Amy Klobuchar,D,11,52,0.836538461538,12,MN,"[(Health, 61), (Taxation, 38), (Crime and law enforcement, 31), (Armed forces and national security, 24), (International affairs, 20)]","[(Health, 8), (Government operations and politics, 6), (Crime and law enforcement, 4), (Commerce, 4), (Armed forces and national security, 4)]",303.0,96.7,blue,20,0.557692307692,senate,115
D000618,26,41,144,0.781933922559,28,0.53,0.0,Steve Daines,R,3,41,0.459349593496,30,MT,"[(Armed forces and national security, 16), (Health, 16), (Crime and law enforcement, 15), (Government operations and politics, 13), (Public lands and natural resources, 13)]","[(Government operations and politics, 9), (Public lands and natural resources, 5), (Civil rights and liberties, minority issues, 3), (Taxation, 3), (None, 2)]",303.0,97.03,red,20,0.634146341463,senate,115
G000386,50,62,122,0.869514820334,10,0.341,0.0,Charles Grassley,R,37,62,0.559139784946,14,IA,"[(Health, 31), (Crime and law enforcement, 19), (Armed forces and national security, 11), (Government operations and politics, 9), (Finance and financial sector, 7)]","[(Crime and law enforcement, 15), (Health, 11), (Government operations and politics, 6), (Education, 5), (Immigration, 4)]",303.0,97.69,red,20,0.806451612903,senate,115
C000174,6,13,129,0.767486583184,21,-0.174,1.65,Thomas Carper,D,17,13,0.9,8,DE,"[(Government operations and politics, 23), (Health, 16), (Immigration, 12), (Taxation, 10), (Civil rights and liberties, minority issues, 8)]","[(Health, 3), (Government operations and politics, 2), (Taxation, 2), (Public lands and natural resources, 2), (Education, 2)]",303.0,91.61,blue,20,0.461538461538,senate,115
P000449,21,31,138,0.688899868248,47,0.375,0.99,Rob Portman,R,7,31,0.569892473118,12,OH,"[(Health, 20), (Taxation, 18), (International affairs, 16), (Crime and law enforcement, 12), (Government operations and politics, 6)]","[(Government operations and politics, 6), (Health, 4), (Crime and law enforcement, 3), (Energy, 3), (Economics and public finance, 2)]",303.0,97.67,red,20,0.677419354839,senate,115
C001088,19,23,290,0.790517241379,14,-0.283,3.3,Christopher Coons,D,9,23,0.926086956522,4,DE,"[(International affairs, 56), (Health, 45), (Crime and law enforcement, 34), (Taxation, 22), (Government operations and politics, 19)]","[(Commerce, 4), (Taxation, 4), (Public lands and natural resources, 3), (Law, 2), (International affairs, 2)]",303.0,93.86,blue,20,0.826086956522,senate,115
H001075,6,11,164,0.680499530957,40,,0.33,Kamala Harris,D,1,11,0.818181818182,16,CA,"[(Crime and law enforcement, 20), (Health, 19), (Immigration, 14), (Civil rights and liberties, minority issues, 14), (Labor and employment, 11)]","[(Crime and law enforcement, 2), (Public lands and natural resources, 2), (Congress, 1), (Water resources development, 1), (Armed forces and national security, 1)]",303.0,85.76,blue,20,0.545454545455,senate,115
S001141,0,0,1,0.449494949495,53,0.549,65.0,Jeff Sessions,R,21,0,0.0,53,AL,"[(Public lands and natural resources, 1)]",[],60.0,90.48,red,20,,senate,115
H001041,33,48,141,0.803352675693,20,0.461,3.3,Dean Heller,R,7,48,0.510416666667,17,NV,"[(Armed forces and national security, 21), (Health, 15), (Taxation, 15), (Crime and law enforcement, 13), (Finance and financial sector, 11)]","[(Armed forces and national security, 12), (Public lands and natural resources, 8), (Taxation, 7), (Finance and financial sector, 4), (Health, 3)]",303.0,91.81,red,20,0.6875,senate,115
F000062,12,43,272,0.790038178733,15,-0.263,8.25,Dianne Feinstein,D,25,43,0.781395348837,21,CA,"[(Crime and law enforcement, 44), (International affairs, 29), (Health, 22), (Government operations and politics, 21), (Armed forces and national security, 19)]","[(None, 9), (Crime and law enforcement, 6), (Immigration, 5), (Health, 4), (Public lands and natural resources, 4)]",303.0,94.96,blue,20,0.279069767442,senate,115
Y000064,10,14,103,0.781161125821,30,0.489,0.66,Todd Young,R,1,14,0.440476190476,38,IN,"[(International affairs, 22), (Health, 14), (Crime and law enforcement, 9), (Taxation, 9), (Labor and employment, 7)]","[(International affairs, 4), (Social welfare, 3), (Education, 2), (None, 2), (Finance and financial sector, 1)]",303.0,98.67,red,20,0.714285714286,senate,115
I000024,9,16,149,0.755694529184,36,0.551,1.32,James Inhofe,R,25,16,0.447916666667,35,OK,"[(International affairs, 19), (Armed forces and national security, 16), (Environmental protection, 15), (Health, 13), (Crime and law enforcement, 13)]","[(Energy, 4), (Transportation and public works, 4), (Environmental protection, 2), (Armed forces and national security, 2), (Government operations and politics, 1)]",303.0,97.99,red,20,0.5625,senate,115
G000555,14,34,303,0.650177710079,48,-0.334,0.0,Kirsten Gillibrand,D,9,34,0.670588235294,36,NY,"[(Health, 48), (Crime and law enforcement, 30), (Taxation, 28), (Government operations and politics, 24), (Armed forces and national security, 23)]","[(Crime and law enforcement, 4), (Armed forces and national security, 4), (Public lands and natural resources, 3), (Commerce, 2), (Families, 2)]",303.0,79.87,blue,20,0.411764705882,senate,115
W000805,22,28,127,0.775605693519,20,-0.197,2.31,Mark Warner,D,9,28,0.825,14,VA,"[(Health, 12), (Government operations and politics, 11), (Armed forces and national security, 10), (Finance and financial sector, 10), (Taxation, 9)]","[(Health, 6), (Taxation, 5), (Government operations and politics, 3), (Education, 3), (Armed forces and national security, 3)]",303.0,88.18,blue,20,0.785714285714,senate,115
P000595,17,26,224,0.785010302198,17,-0.232,0.99,Gary Peters,D,3,26,0.715384615385,30,MI,"[(Armed forces and national security, 32), (International affairs, 22), (Taxation, 21), (Health, 20), (Government operations and politics, 16)]","[(Government operations and politics, 4), (Armed forces and national security, 3), (Finance and financial sector, 2), (Commerce, 2), (Crime and law enforcement, 2)]",303.0,93.0,blue,20,0.653846153846,senate,115
M000133,8,40,295,0.661831812256,45,-0.5,0.33,Edward Markey,D,5,40,0.6225,42,MA,"[(Health, 33), (International affairs, 32), (Government operations and politics, 25), (Crime and law enforcement, 25), (Armed forces and national security, 22)]","[(International affairs, 8), (Transportation and public works, 5), (Energy, 5), (Armed forces and national security, 4), (Science, technology, communications, 4)]",303.0,88.41,blue,20,0.2,senate,115
C001098,8,36,124,0.873615184099,9,0.884,2.31,Ted Cruz,R,5,36,0.458333333333,32,TX,"[(Crime and law enforcement, 26), (International affairs, 21), (Armed forces and national security, 7), (Health, 6), (Congress, 6)]","[(International affairs, 10), (Health, 4), (Government operations and politics, 3), (Immigration, 3), (None, 3)]",303.0,97.3,red,20,0.222222222222,senate,115
C001095,3,15,143,0.754397118033,37,0.619,0.0,Tom Cotton,R,3,15,0.333333333333,48,AR,"[(Armed forces and national security, 22), (Health, 21), (International affairs, 18), (Finance and financial sector, 12), (Crime and law enforcement, 9)]","[(Armed forces and national security, 3), (International affairs, 3), (Animals, 2), (Immigration, 2), (Crime and law enforcement, 1)]",303.0,97.69,red,20,0.2,senate,115
B000944,16,41,294,0.717209576138,33,-0.44,0.0,Sherrod Brown,D,11,41,0.643902439024,39,OH,"[(Health, 55), (Armed forces and national security, 43), (Taxation, 33), (Government operations and politics, 21), (Labor and employment, 21)]","[(Taxation, 12), (Health, 10), (Labor and employment, 3), (Armed forces and national security, 3), (None, 2)]",303.0,94.72,blue,20,0.390243902439,senate,115
C000141,22,54,190,0.735880566802,28,-0.329,0.0,Benjamin Cardin,D,11,54,0.777777777778,22,MD,"[(Health, 35), (International affairs, 25), (Taxation, 23), (Government operations and politics, 13), (Armed forces and national security, 11)]","[(International affairs, 22), (Health, 6), (Government operations and politics, 5), (Public lands and natural resources, 4), (Taxation, 3)]",303.0,96.7,blue,20,0.407407407407,senate,115
H001061,9,20,84,0.813371813372,14,0.338,1.32,John Hoeven,R,7,20,0.491666666667,22,ND,"[(Health, 11), (Taxation, 10), (Armed forces and national security, 9), (Crime and law enforcement, 8), (International affairs, 6)]","[(Native Americans, 7), (Agriculture and food, 2), (Public lands and natural resources, 2), (Armed forces and national security, 2), (Taxation, 2)]",303.0,99.33,red,20,0.45,senate,115
R000122,10,20,176,0.672749125874,43,-0.39,0.0,Jack Reed,D,21,20,0.735,27,RI,"[(Health, 21), (Taxation, 21), (Education, 16), (International affairs, 15), (Government operations and politics, 12)]","[(Finance and financial sector, 5), (Armed forces and national security, 3), (Education, 3), (Health, 2), (Taxation, 2)]",303.0,95.71,blue,20,0.5,senate,115
M000639,10,34,190,0.737206477733,27,-0.36,26.73,Robert Menendez,D,12,34,0.829411764706,13,NJ,"[(International affairs, 38), (Health, 18), (Armed forces and national security, 15), (Crime and law enforcement, 13), (Taxation, 12)]","[(International affairs, 6), (Taxation, 4), (Health, 4), (Finance and financial sector, 3), (Civil rights and liberties, minority issues, 3)]",303.0,94.59,blue,20,0.294117647059,senate,115
H001069,10,23,135,0.903190883191,4,-0.129,0.33,Heidi Heitkamp,D,5,23,0.860869565217,10,ND,"[(Health, 21), (Taxation, 14), (Finance and financial sector, 11), (Crime and law enforcement, 10), (Armed forces and national security, 8)]","[(Health, 5), (Taxation, 4), (Native Americans, 3), (Finance and financial sector, 2), (Government operations and politics, 2)]",303.0,78.81,blue,20,0.434782608696,senate,115
F000444,17,49,82,0.734540527223,43,0.855,3.3,Jeff Flake,R,5,49,0.445578231293,36,AZ,"[(Crime and law enforcement, 9), (Finance and financial sector, 8), (Public lands and natural resources, 7), (International affairs, 7), (Environmental protection, 7)]","[(Public lands and natural resources, 9), (Energy, 5), (Agriculture and food, 4), (Armed forces and national security, 4), (Taxation, 4)]",303.0,95.9,red,20,0.34693877551,senate,115
H000338,35,65,142,0.886328069427,6,0.382,0.0,Orrin Hatch,R,41,65,0.430769230769,39,UT,"[(Crime and law enforcement, 29), (International affairs, 14), (Public lands and natural resources, 12), (Education, 12), (Labor and employment, 11)]","[(Crime and law enforcement, 10), (Health, 7), (Labor and employment, 5), (Taxation, 4), (Science, technology, communications, 4)]",303.0,98.68,red,20,0.538461538462,senate,115
