id,bi_sponsor_bi,bi_sponsor_count,cosponsor_count,cosponsor_normalized,cosponsor_rank,dw_nominate,missed_votes_pct,name,party,seniority,sponsor_count,sponsor_normalized,sponsor_rank,state,top_cosponsor_subjects,top_cosponsor_subjects_1_text,top_cosponsor_subjects_1_count,top_cosponsor_subjects_2_text,top_cosponsor_subjects_2_count,top_cosponsor_subjects_3_text,top_cosponsor_subjects_3_count,top_cosponsor_subjects_4_text,top_cosponsor_subjects_4_count,top_cosponsor_subjects_5_text,top_cosponsor_subjects_5_count,top_sponsor_subjects,top_sponsor_subjects_1_text,top_sponsor_subjects_1_count,top_sponsor_subjects_2_text,top_sponsor_subjects_2_count,top_sponsor_subjects_3_text,top_sponsor_subjects_3_count,top_sponsor_subjects_4_text,top_sponsor_subjects_4_count,top_sponsor_subjects_5_text,top_sponsor_subjects_5_count,total_votes,votes_with_party_pct,color,size,bi_pct,chamber,congress
C001047,9,13,176,0.787893136,25,0.258,0.99,Shelley Capito,R,3,13,0.41025641,41,WV,"[(Health, 43), (Taxation, 12), (Crime and law enforcement, 12), (Armed forces and national security, 11), (Environmental protection, 10)]",Health,43,Taxation,12,Crime and law enforcement,12,Armed forces and national security,11,Environmental protection,10,"[(Taxation, 3), (Health, 3), (Sports and recreation, 2), (Environmental protection, 2), (Energy, 2)]",Taxation,3,Health,3,Sports and recreation,2,Environmental protection,2,Energy,2,303,97.67,red,20,0.692307692,senate,115
U000039,3,28,180,0.733376068,30,-0.456,1.32,Tom Udall,D,10,28,0.75,25,NM,"[(Government operations and politics, 24), (Health, 19), (Armed forces and national security, 15), (Taxation, 14), (Crime and law enforcement, 12)]",Government operations and politics,24,Health,19,Armed forces and national security,15,Taxation,14,Crime and law enforcement,12,"[(Native Americans, 5), (Government operations and politics, 5), (Armed forces and national security, 3), (Environmental protection, 3), (Commerce, 2)]",Native Americans,5,Government operations and politics,5,Armed forces and national security,3,Environmental protection,3,Commerce,2,303,92.31,blue,20,0.107142857,senate,115
B001277,6,40,359,0.766295265,22,-0.418,0.33,Richard Blumenthal,D,7,40,0.6225,42,CT,"[(Health, 50), (Armed forces and national security, 44), (Crime and law enforcement, 38), (International affairs, 26), (Government operations and politics, 22)]",Health,50,Armed forces and national security,44,Crime and law enforcement,38,International affairs,26,Government operations and politics,22,"[(Armed forces and national security, 7), (Transportation and public works, 7), (Crime and law enforcement, 5), (None, 5), (Health, 3)]",Armed forces and national security,7,Transportation and public works,7,Crime and law enforcement,5,None,5,Health,3,303,91.72,blue,20,0.15,senate,115
S001202,0,4,84,0.68226912,49,,3.7,Luther Strange,R,1,4,0.333333333,48,AL,"[(Crime and law enforcement, 12), (Health, 12), (Labor and employment, 7), (Armed forces and national security, 7), (Environmental protection, 6)]",Crime and law enforcement,12,Health,12,Labor and employment,7,Armed forces and national security,7,Environmental protection,6,"[(Crime and law enforcement, 1), (Armed forces and national security, 1), (Civil rights and liberties, minority issues, 1), (Immigration, 1)]",Crime and law enforcement,1,Armed forces and national security,1,"Civil rights and liberties, minority issues",1,Immigration,1,,,243,96.58,red,20,0,senate,115
M001111,4,28,191,0.794019331,13,-0.342,0,Patty Murray,D,25,28,0.696428571,33,WA,"[(Armed forces and national security, 24), (Government operations and politics, 17), (Health, 14), (Taxation, 14), (Public lands and natural resources, 14)]",Armed forces and national security,24,Government operations and politics,17,Health,14,Taxation,14,Public lands and natural resources,14,"[(Education, 7), (Labor and employment, 6), (Armed forces and national security, 3), (Health, 3), (Government operations and politics, 1)]",Education,7,Labor and employment,6,Armed forces and national security,3,Health,3,Government operations and politics,1,303,96.7,blue,20,0.142857143,senate,115
W000437,18,28,150,0.741666667,41,0.376,0.33,Roger Wicker,R,11,28,0.505952381,19,MS,"[(Health, 27), (Taxation, 12), (International affairs, 12), (Armed forces and national security, 11), (Labor and employment, 10)]",Health,27,Taxation,12,International affairs,12,Armed forces and national security,11,Labor and employment,10,"[(Science, technology, communications, 6), (Finance and financial sector, 4), (Public lands and natural resources, 4), (International affairs, 3), (Environmental protection, 3)]","Science, technology, communications",6,Finance and financial sector,4,Public lands and natural resources,4,International affairs,3,Environmental protection,3,303,98.68,red,20,0.642857143,senate,115
P000603,8,29,73,0.72965961,44,0.882,3.96,Rand Paul,R,7,29,0.344827586,46,KY,"[(Crime and law enforcement, 11), (Congress, 6), (Taxation, 6), (Finance and financial sector, 6), (Health, 6)]",Crime and law enforcement,11,Congress,6,Taxation,6,Finance and financial sector,6,Health,6,"[(Crime and law enforcement, 5), (Government operations and politics, 4), (International affairs, 4), (Economics and public finance, 3), (Transportation and public works, 2)]",Crime and law enforcement,5,Government operations and politics,4,International affairs,4,Economics and public finance,3,Transportation and public works,2,303,86.94,red,20,0.275862069,senate,115
R000595,31,54,237,0.747261646,39,0.59,4.29,Marco Rubio,R,7,54,0.453703704,34,FL,"[(International affairs, 66), (Armed forces and national security, 23), (Crime and law enforcement, 20), (Health, 19), (Finance and financial sector, 13)]",International affairs,66,Armed forces and national security,23,Crime and law enforcement,20,Health,19,Finance and financial sector,13,"[(International affairs, 18), (Crime and law enforcement, 5), (Taxation, 4), (Government operations and politics, 3), (Armed forces and national security, 3)]",International affairs,18,Crime and law enforcement,5,Taxation,4,Government operations and politics,3,Armed forces and national security,3,303,98.62,red,20,0.574074074,senate,115
D000622,4,25,198,0.741773504,26,-0.298,0.66,Tammy Duckworth,D,1,25,0.924,5,IL,"[(Health, 25), (Taxation, 20), (Government operations and politics, 15), (Crime and law enforcement, 15), (Labor and employment, 14)]",Health,25,Taxation,20,Government operations and politics,15,Crime and law enforcement,15,Labor and employment,14,"[(Armed forces and national security, 3), (Transportation and public works, 3), (Environmental protection, 3), (Immigration, 3), (Science, technology, communications, 3)]",Armed forces and national security,3,Transportation and public works,3,Environmental protection,3,Immigration,3,"Science, technology, communications",3,303,91.69,blue,20,0.16,senate,115
M001169,3,21,165,0.664160839,44,-0.311,0.66,Christopher Murphy,D,5,21,0.628571429,41,CT,"[(International affairs, 21), (Health, 20), (Crime and law enforcement, 15), (Armed forces and national security, 13), (Government operations and politics, 13)]",International affairs,21,Health,20,Crime and law enforcement,15,Armed forces and national security,13,Government operations and politics,13,"[(Immigration, 4), (Finance and financial sector, 3), (Social welfare, 2), (International affairs, 2), (Armed forces and national security, 2)]",Immigration,4,Finance and financial sector,3,Social welfare,2,International affairs,2,Armed forces and national security,2,303,95.02,blue,20,0.142857143,senate,115
C001113,2,4,134,0.885490815,5,,2.64,Catherine Cortez Masto,D,1,4,0.6,45,NV,"[(Crime and law enforcement, 18), (Health, 13), (Civil rights and liberties, minority issues, 13), (Immigration, 11), (Armed forces and national security, 9)]",Crime and law enforcement,18,Health,13,"Civil rights and liberties, minority issues",13,Immigration,11,Armed forces and national security,9,"[(Science, technology, communications, 1), (None, 1), (Immigration, 1), (Transportation and public works, 1)]","Science, technology, communications",1,None,1,Immigration,1,Transportation and public works,1,,,303,90.51,blue,20,0.5,senate,115
B000575,23,29,159,0.795803951,22,0.431,2.31,Roy Blunt,R,7,29,0.545977011,15,MO,"[(Health, 22), (Taxation, 21), (Crime and law enforcement, 21), (Armed forces and national security, 13), (International affairs, 13)]",Health,22,Taxation,21,Crime and law enforcement,21,Armed forces and national security,13,International affairs,13,"[(Health, 4), (Armed forces and national security, 4), (Taxation, 3), (Transportation and public works, 2), (International affairs, 2)]",Health,4,Armed forces and national security,4,Taxation,3,Transportation and public works,2,International affairs,2,303,98.31,red,20,0.793103448,senate,115
R000605,10,28,150,0.806094276,18,0.382,0,Mike Rounds,R,3,28,0.369047619,44,SD,"[(Armed forces and national security, 28), (Health, 21), (Finance and financial sector, 15), (International affairs, 13), (Crime and law enforcement, 12)]",Armed forces and national security,28,Health,21,Finance and financial sector,15,International affairs,13,Crime and law enforcement,12,"[(Armed forces and national security, 14), (Finance and financial sector, 5), (Native Americans, 2), (Government operations and politics, 1), (Taxation, 1)]",Armed forces and national security,14,Finance and financial sector,5,Native Americans,2,Government operations and politics,1,Taxation,1,303,99.01,red,20,0.357142857,senate,115
C001056,25,43,155,0.842440534,12,0.497,0,John Cornyn,R,15,43,0.674418605,8,TX,"[(Crime and law enforcement, 30), (Armed forces and national security, 19), (International affairs, 16), (Health, 11), (Labor and employment, 11)]",Crime and law enforcement,30,Armed forces and national security,19,International affairs,16,Health,11,Labor and employment,11,"[(Crime and law enforcement, 11), (International affairs, 5), (Taxation, 4), (Health, 3), (Armed forces and national security, 3)]",Crime and law enforcement,11,International affairs,5,Taxation,4,Health,3,Armed forces and national security,3,303,99.01,red,20,0.581395349,senate,115
I000055,16,22,121,0.780115202,31,0.404,16.5,Johnny Isakson,R,13,22,0.454545455,33,GA,"[(Taxation, 23), (Health, 22), (International affairs, 10), (Finance and financial sector, 9), (Crime and law enforcement, 8)]",Taxation,23,Health,22,International affairs,10,Finance and financial sector,9,Crime and law enforcement,8,"[(Health, 5), (Armed forces and national security, 3), (Labor and employment, 3), (Public lands and natural resources, 3), (Congress, 2)]",Health,5,Armed forces and national security,3,Labor and employment,3,Public lands and natural resources,3,Congress,2,303,98.42,red,20,0.727272727,senate,115
S000148,0,6,121,0.786999364,16,-0.35,0,Charles Schumer,D,19,6,1,1,NY,"[(Taxation, 14), (Health, 11), (Congress, 11), (International affairs, 11), (Crime and law enforcement, 10)]",Taxation,14,Health,11,Congress,11,International affairs,11,Crime and law enforcement,10,"[(Congress, 2), (None, 1), (Economics and public finance, 1), (Civil rights and liberties, minority issues, 1), (Water resources development, 1)]",Congress,2,None,1,Economics and public finance,1,"Civil rights and liberties, minority issues",1,Water resources development,1,303,94.39,blue,20,0,senate,115
H001042,8,35,223,0.76028803,23,-0.492,1.98,Mazie Hirono,D,5,35,0.917142857,6,HI,"[(Armed forces and national security, 31), (Health, 28), (Crime and law enforcement, 19), (Government operations and politics, 16), (Taxation, 15)]",Armed forces and national security,31,Health,28,Crime and law enforcement,19,Government operations and politics,16,Taxation,15,"[(Armed forces and national security, 7), (Health, 5), (Immigration, 4), (Civil rights and liberties, minority issues, 4), (Education, 3)]",Armed forces and national security,7,Health,5,Immigration,4,"Civil rights and liberties, minority issues",4,Education,3,303,92.59,blue,20,0.228571429,senate,115
H001046,6,18,170,0.709830317,35,-0.283,1.32,Martin Heinrich,D,5,18,0.683333333,34,NM,"[(Health, 26), (Armed forces and national security, 19), (Public lands and natural resources, 16), (Taxation, 12), (Crime and law enforcement, 11)]",Health,26,Armed forces and national security,19,Public lands and natural resources,16,Taxation,12,Crime and law enforcement,11,"[(Public lands and natural resources, 4), (None, 2), (Energy, 2), (Emergency management, 1), (Government operations and politics, 1)]",Public lands and natural resources,4,None,2,Energy,2,Emergency management,1,Government operations and politics,1,303,94.31,blue,20,0.333333333,senate,115
G000562,16,26,150,0.761144781,33,0.456,0,Cory Gardner,R,3,26,0.525641026,16,CO,"[(International affairs, 33), (Health, 20), (Taxation, 13), (Public lands and natural resources, 12), (Government operations and politics, 10)]",International affairs,33,Health,20,Taxation,13,Public lands and natural resources,12,Government operations and politics,10,"[(Public lands and natural resources, 6), (Government operations and politics, 4), (Energy, 4), (Congress, 3), (International affairs, 2)]",Public lands and natural resources,6,Government operations and politics,4,Energy,4,Congress,3,International affairs,2,303,97.69,red,20,0.615384615,senate,115
R000584,7,15,129,0.632428941,52,0.631,0.33,Jim Risch,R,9,15,0.444444444,37,ID,"[(Public lands and natural resources, 17), (Labor and employment, 12), (International affairs, 11), (Armed forces and national security, 10), (Health, 10)]",Public lands and natural resources,17,Labor and employment,12,International affairs,11,Armed forces and national security,10,Health,10,"[(Commerce, 6), (Animals, 2), (Labor and employment, 2), (Public lands and natural resources, 2), (Government operations and politics, 1)]",Commerce,6,Animals,2,Labor and employment,2,Public lands and natural resources,2,Government operations and politics,1,303,96.36,red,20,0.466666667,senate,115
S000770,6,24,202,0.72708492,32,-0.327,1.32,Debbie Stabenow,D,17,24,0.6375,40,MI,"[(Health, 44), (Taxation, 25), (Armed forces and national security, 20), (International affairs, 13), (Public lands and natural resources, 12)]",Health,44,Taxation,25,Armed forces and national security,20,International affairs,13,Public lands and natural resources,12,"[(Health, 7), (Taxation, 6), (Water resources development, 2), (Public lands and natural resources, 2), (Government operations and politics, 1)]",Health,7,Taxation,6,Water resources development,2,Public lands and natural resources,2,Government operations and politics,1,303,93.98,blue,20,0.25,senate,115
P000612,5,11,143,0.755968779,35,0.659,0.33,David Perdue,R,3,11,0.772727273,5,GA,"[(International affairs, 20), (Finance and financial sector, 15), (Crime and law enforcement, 14), (Armed forces and national security, 13), (Health, 12)]",International affairs,20,Finance and financial sector,15,Crime and law enforcement,14,Armed forces and national security,13,Health,12,"[(Finance and financial sector, 4), (Government operations and politics, 1), (Crime and law enforcement, 1), (None, 1), (Armed forces and national security, 1)]",Finance and financial sector,4,Government operations and politics,1,Crime and law enforcement,1,None,1,Armed forces and national security,1,303,97.35,red,20,0.454545455,senate,115
L000577,8,29,99,0.660621365,51,0.921,0.33,Mike Lee,R,7,29,0.344827586,46,UT,"[(Crime and law enforcement, 15), (Health, 10), (Government operations and politics, 7), (Finance and financial sector, 7), (Taxation, 6)]",Crime and law enforcement,15,Health,10,Government operations and politics,7,Finance and financial sector,7,Taxation,6,"[(Crime and law enforcement, 5), (Economics and public finance, 3), (Labor and employment, 3), (International affairs, 3), (Commerce, 2)]",Crime and law enforcement,5,Economics and public finance,3,Labor and employment,3,International affairs,3,Commerce,2,303,91.39,red,20,0.275862069,senate,115
L000575,3,20,105,0.776984127,32,0.562,0,James Lankford,R,3,20,0.466666667,26,OK,"[(Crime and law enforcement, 17), (Government operations and politics, 11), (Health, 8), (Native Americans, 8), (Finance and financial sector, 7)]",Crime and law enforcement,17,Government operations and politics,11,Health,8,Native Americans,8,Finance and financial sector,7,"[(Government operations and politics, 11), (Taxation, 2), (International affairs, 2), (Health, 2), (Congress, 1)]",Government operations and politics,11,Taxation,2,International affairs,2,Health,2,Congress,1,303,96.7,red,20,0.15,senate,115
J000293,11,22,95,0.7523126,38,0.594,0.33,Ron Johnson,R,7,22,0.787878788,4,WI,"[(Government operations and politics, 15), (International affairs, 12), (Crime and law enforcement, 10), (Health, 8), (Congress, 6)]",Government operations and politics,15,International affairs,12,Crime and law enforcement,10,Health,8,Congress,6,"[(Government operations and politics, 6), (Crime and law enforcement, 3), (Labor and employment, 2), (Animals, 1), (Congress, 1)]",Government operations and politics,6,Crime and law enforcement,3,Labor and employment,2,Animals,1,Congress,1,303,98.01,red,20,0.5,senate,115
H001076,3,6,230,0.704289298,38,,0,Margaret Hassan,D,1,6,0.8,20,NH,"[(Health, 31), (Crime and law enforcement, 23), (Taxation, 21), (Government operations and politics, 20), (Armed forces and national security, 18)]",Health,31,Crime and law enforcement,23,Taxation,21,Government operations and politics,20,Armed forces and national security,18,"[(Emergency management, 1), (Government operations and politics, 1), (Taxation, 1), (Transportation and public works, 1), (Health, 1)]",Emergency management,1,Government operations and politics,1,Taxation,1,Transportation and public works,1,Health,1,303,96.04,blue,20,0.5,senate,115
C000880,11,24,117,0.793339377,23,0.507,0,Michael Crapo,R,19,24,0.361111111,45,ID,"[(Crime and law enforcement, 16), (Armed forces and national security, 15), (Public lands and natural resources, 14), (Health, 10), (Energy, 7)]",Crime and law enforcement,16,Armed forces and national security,15,Public lands and natural resources,14,Health,10,Energy,7,"[(Finance and financial sector, 4), (Taxation, 4), (Health, 3), (Armed forces and national security, 3), (Public lands and natural resources, 2)]",Finance and financial sector,4,Taxation,4,Health,3,Armed forces and national security,3,Public lands and natural resources,2,303,97.36,red,20,0.458333333,senate,115
D000607,16,21,131,1,1,-0.12,1.65,Joe Donnelly,D,5,21,0.857142857,11,IN,"[(Health, 27), (Taxation, 17), (Armed forces and national security, 14), (Finance and financial sector, 10), (Labor and employment, 7)]",Health,27,Taxation,17,Armed forces and national security,14,Finance and financial sector,10,Labor and employment,7,"[(Armed forces and national security, 3), (Health, 3), (Finance and financial sector, 2), (Agriculture and food, 2), (Native Americans, 1)]",Armed forces and national security,3,Health,3,Finance and financial sector,2,Agriculture and food,2,Native Americans,1,303,82.21,blue,20,0.761904762,senate,115
M000355,9,24,41,0.920916482,3,0.404,0,Mitch McConnell,R,33,24,0.736111111,6,KY,"[(Labor and employment, 7), (Crime and law enforcement, 6), (Education, 4), (Congress, 3), (Finance and financial sector, 3)]",Labor and employment,7,Crime and law enforcement,6,Education,4,Congress,3,Finance and financial sector,3,"[(Congress, 16), (Government operations and politics, 2), (Economics and public finance, 1), (Energy, 1), (International affairs, 1)]",Congress,16,Government operations and politics,2,Economics and public finance,1,Energy,1,International affairs,1,303,98.35,red,20,0.375,senate,115
C001070,23,43,200,0.783480769,18,-0.298,0,Bob Casey,D,11,43,0.76744186,24,PA,"[(Health, 30), (Taxation, 24), (International affairs, 20), (Crime and law enforcement, 18), (Armed forces and national security, 17)]",Health,30,Taxation,24,International affairs,20,Crime and law enforcement,18,Armed forces and national security,17,"[(Health, 10), (Taxation, 8), (Labor and employment, 7), (Education, 3), (Crime and law enforcement, 2)]",Health,10,Taxation,8,Labor and employment,7,Education,3,Crime and law enforcement,2,303,97.03,blue,20,0.534883721,senate,115
C001071,6,11,34,0.938651218,2,0.391,0.99,Bob Corker,R,11,11,0.833333333,2,TN,"[(Crime and law enforcement, 7), (Congress, 4), (Taxation, 3), (International affairs, 3), (Health, 3)]",Crime and law enforcement,7,Congress,4,Taxation,3,International affairs,3,Health,3,"[(International affairs, 9), (Armed forces and national security, 1), (Congress, 1)]",International affairs,9,Armed forces and national security,1,Congress,1,,,,,303,95.33,red,20,0.545454545,senate,115
C001075,16,34,104,0.73475136,42,0.453,0.33,Bill Cassidy,R,3,34,0.401960784,42,LA,"[(Health, 21), (Crime and law enforcement, 13), (International affairs, 10), (Education, 9), (Public lands and natural resources, 8)]",Health,21,Crime and law enforcement,13,International affairs,10,Education,9,Public lands and natural resources,8,"[(Armed forces and national security, 7), (Health, 7), (Energy, 6), (Public lands and natural resources, 3), (Taxation, 3)]",Armed forces and national security,7,Health,7,Energy,6,Public lands and natural resources,3,Taxation,3,303,98.34,red,20,0.470588235,senate,115
M001183,15,27,134,0.881730769,6,-0.063,0,Joe Manchin,D,9,27,0.822222222,15,WV,"[(Armed forces and national security, 26), (Health, 17), (Crime and law enforcement, 13), (Public lands and natural resources, 10), (International affairs, 10)]",Armed forces and national security,26,Health,17,Crime and law enforcement,13,Public lands and natural resources,10,International affairs,10,"[(Health, 6), (Armed forces and national security, 5), (Energy, 4), (Labor and employment, 3), (Science, technology, communications, 2)]",Health,6,Armed forces and national security,5,Energy,4,Labor and employment,3,"Science, technology, communications",2,303,73.93,blue,20,0.555555556,senate,115
B001267,14,28,178,0.776998704,19,-0.208,0.33,Michael Bennet,D,9,28,0.621428571,44,CO,"[(Health, 30), (Taxation, 20), (International affairs, 17), (Public lands and natural resources, 16), (Armed forces and national security, 14)]",Health,30,Taxation,20,International affairs,17,Public lands and natural resources,16,Armed forces and national security,14,"[(Public lands and natural resources, 5), (Taxation, 4), (Environmental protection, 3), (None, 3), (Emergency management, 2)]",Public lands and natural resources,5,Taxation,4,Environmental protection,3,None,3,Emergency management,2,303,92.38,blue,20,0.5,senate,115
B001261,8,19,94,0.719670105,45,0.528,0.33,John Barrasso,R,11,19,0.561403509,13,WY,"[(Health, 11), (Finance and financial sector, 10), (Taxation, 9), (Environmental protection, 9), (Crime and law enforcement, 7)]",Health,11,Finance and financial sector,10,Taxation,9,Environmental protection,9,Crime and law enforcement,7,"[(Public lands and natural resources, 5), (Water resources development, 3), (Energy, 2), (Animals, 1), (Congress, 1)]",Public lands and natural resources,5,Water resources development,3,Energy,2,Animals,1,Congress,1,303,98.34,red,20,0.421052632,senate,115
S000320,2,6,35,0.911832612,4,0.433,0.99,Richard Shelby,R,31,6,0.638888889,9,AL,"[(Congress, 6), (Crime and law enforcement, 5), (Health, 4), (Immigration, 3), (International affairs, 3)]",Congress,6,Crime and law enforcement,5,Health,4,Immigration,3,International affairs,3,"[(Congress, 3), (Economics and public finance, 2), (Taxation, 1)]",Congress,3,Economics and public finance,2,Taxation,1,,,,,303,97.67,red,20,0.333333333,senate,115
F000463,13,24,95,0.787799043,26,0.474,0,Deb Fischer,R,5,24,0.486111111,23,NE,"[(Health, 16), (Crime and law enforcement, 8), (Government operations and politics, 8), (Taxation, 7), (Science, technology, communications, 7)]",Health,16,Crime and law enforcement,8,Government operations and politics,8,Taxation,7,"Science, technology, communications",7,"[(Transportation and public works, 6), (Government operations and politics, 4), (Environmental protection, 4), (Taxation, 2), (Science, technology, communications, 2)]",Transportation and public works,6,Government operations and politics,4,Environmental protection,4,Taxation,2,"Science, technology, communications",2,303,97.69,red,20,0.541666667,senate,115
K000367,29,52,320,0.799855769,12,-0.239,0,Amy Klobuchar,D,11,52,0.836538462,12,MN,"[(Health, 61), (Taxation, 38), (Crime and law enforcement, 31), (Armed forces and national security, 24), (International affairs, 20)]",Health,61,Taxation,38,Crime and law enforcement,31,Armed forces and national security,24,International affairs,20,"[(Health, 8), (Government operations and politics, 6), (Crime and law enforcement, 4), (Commerce, 4), (Armed forces and national security, 4)]",Health,8,Government operations and politics,6,Crime and law enforcement,4,Commerce,4,Armed forces and national security,4,303,96.7,blue,20,0.557692308,senate,115
