rep_id,bi_sponsor_bi,bi_sponsor_count,cosponsor_count,cosponsor_normalized,cosponsor_rank,dw_nominate,missed_votes_pct,name,party,seniority,sponsor_count,sponsor_normalized,sponsor_rank,state,top_cosponsor_subjects,top_sponsor_subjects,total_votes,votes_with_party_pct,color,size,bi_pct,chamber,congress
C001047,9,13,162,0.802469136,23,0.258,1.14,Shelley Capito,R,3,13,0.391608392,39,WV,"[(Health, 36), (Taxation, 12), (Crime and law enforcement, 12), (Armed forces and national security, 10), (Environmental protection, 10)]","[(Taxation, 3), (Health, 3), (Sports and recreation, 2), (Environmental protection, 2), (Energy, 2)]",263,97.69,red,20,0.692307692,senate,115
U000039,3,26,169,0.723388095,30,-0.456,1.52,Tom Udall,D,10,26,0.7265625,29,NM,"[(Government operations and politics, 22), (Health, 19), (Taxation, 13), (Armed forces and national security, 12), (Crime and law enforcement, 11)]","[(Native Americans, 5), (Government operations and politics, 4), (Armed forces and national security, 3), (Environmental protection, 3), (Commerce, 2)]",263,91.89,blue,20,0.115384615,senate,115
B001277,5,38,336,0.770938085,20,-0.418,0.38,Richard Blumenthal,D,7,38,0.633429276,41,CT,"[(Health, 49), (Armed forces and national security, 38), (Crime and law enforcement, 35), (International affairs, 25), (Government operations and politics, 20)]","[(Transportation and public works, 7), (None, 7), (Armed forces and national security, 6), (Crime and law enforcement, 3), (Health, 3)]",263,90.84,blue,20,0.131578947,senate,115
S001202,0,4,84,0.689935065,47,,4.43,Luther Strange,R,1,4,0.318181818,48,AL,"[(Crime and law enforcement, 12), (Health, 12), (Labor and employment, 7), (Armed forces and national security, 7), (Environmental protection, 6)]","[(Crime and law enforcement, 1), (Armed forces and national security, 1), (Civil rights and liberties, minority issues, 1), (Immigration, 1)]",203,95.88,red,20,0,senate,115
M001111,3,25,181,0.779234298,18,-0.342,0,Patty Murray,D,25,25,0.7190625,32,WA,"[(Armed forces and national security, 22), (Government operations and politics, 17), (Health, 14), (Taxation, 14), (Public lands and natural resources, 14)]","[(Education, 7), (Labor and employment, 4), (Health, 3), (Armed forces and national security, 2), (Commerce, 1)]",263,96.2,blue,20,0.12,senate,115
W000437,18,24,146,0.74875467,39,0.376,0.38,Roger Wicker,R,11,24,0.510416667,16,MS,"[(Health, 27), (Taxation, 12), (International affairs, 12), (Labor and employment, 10), (Education, 10)]","[(Science, technology, communications, 5), (Public lands and natural resources, 4), (International affairs, 3), (Environmental protection, 3), (Health, 3)]",263,98.47,red,20,0.75,senate,115
P000603,8,29,72,0.741792929,42,0.882,2.28,Rand Paul,R,7,29,0.329153605,47,KY,"[(Crime and law enforcement, 11), (Congress, 6), (Taxation, 6), (Finance and financial sector, 6), (Health, 6)]","[(Crime and law enforcement, 5), (Government operations and politics, 4), (International affairs, 4), (Economics and public finance, 3), (Transportation and public works, 2)]",263,85.99,red,20,0.275862069,senate,115
R000595,30,54,229,0.745335451,41,0.59,4.94,Marco Rubio,R,7,54,0.433080808,32,FL,"[(International affairs, 65), (Armed forces and national security, 23), (Crime and law enforcement, 20), (Health, 17), (Finance and financial sector, 12)]","[(International affairs, 18), (Crime and law enforcement, 5), (Taxation, 4), (Government operations and politics, 3), (Armed forces and national security, 3)]",263,98.8,red,20,0.555555556,senate,115
D000622,4,24,190,0.733093604,26,-0.298,0.76,Tammy Duckworth,D,1,24,0.9140625,5,IL,"[(Health, 25), (Taxation, 20), (Government operations and politics, 15), (Labor and employment, 13), (Civil rights and liberties, minority issues, 12)]","[(Armed forces and national security, 3), (Environmental protection, 3), (Immigration, 3), (Science, technology, communications, 3), (None, 2)]",263,90.42,blue,20,0.166666667,senate,115
M001169,4,20,150,0.666376812,43,-0.311,0.76,Christopher Murphy,D,5,20,0.63984375,40,CT,"[(Health, 20), (International affairs, 18), (Government operations and politics, 12), (Armed forces and national security, 10), (Civil rights and liberties, minority issues, 10)]","[(Finance and financial sector, 3), (Immigration, 3), (Social welfare, 2), (Armed forces and national security, 2), (Crime and law enforcement, 1)]",263,94.64,blue,20,0.2,senate,115
C001113,2,3,120,0.895600414,4,,3.04,Catherine Cortez Masto,D,1,3,0.609375,44,NV,"[(Crime and law enforcement, 17), (Civil rights and liberties, minority issues, 13), (Health, 11), (Immigration, 10), (Government operations and politics, 9)]","[(Science, technology, communications, 1), (Immigration, 1), (Transportation and public works, 1)]",263,89.8,blue,20,0.666666667,senate,115
B000575,22,28,156,0.799825175,24,0.431,2.66,Roy Blunt,R,7,28,0.511363636,15,MO,"[(Health, 22), (Crime and law enforcement, 21), (Taxation, 21), (International affairs, 13), (Armed forces and national security, 12)]","[(Health, 4), (Armed forces and national security, 4), (Taxation, 3), (Transportation and public works, 2), (International affairs, 2)]",263,98.44,red,20,0.785714286,senate,115
R000605,9,28,138,0.826745718,15,0.382,0,Mike Rounds,R,3,28,0.329545455,45,SD,"[(Armed forces and national security, 25), (Health, 19), (Finance and financial sector, 13), (Crime and law enforcement, 12), (Taxation, 11)]","[(Armed forces and national security, 14), (Finance and financial sector, 5), (Native Americans, 2), (Government operations and politics, 1), (Taxation, 1)]",263,98.86,red,20,0.321428571,senate,115
C001056,22,39,152,0.856758373,12,0.497,0,John Cornyn,R,15,39,0.664918415,7,TX,"[(Crime and law enforcement, 29), (Armed forces and national security, 18), (International affairs, 16), (Labor and employment, 11), (Health, 10)]","[(Crime and law enforcement, 10), (International affairs, 5), (Taxation, 4), (Health, 3), (Armed forces and national security, 3)]",263,98.86,red,20,0.564102564,senate,115
I000055,13,19,117,0.780885781,31,0.404,19.01,Johnny Isakson,R,13,19,0.401913876,38,GA,"[(Taxation, 23), (Health, 21), (Finance and financial sector, 9), (International affairs, 9), (Crime and law enforcement, 8)]","[(Health, 5), (Armed forces and national security, 3), (Labor and employment, 3), (Public lands and natural resources, 3), (Economics and public finance, 1)]",263,98.12,red,20,0.684210526,senate,115
S000148,0,6,115,0.760266451,23,-0.35,0,Charles Schumer,D,19,6,0.9140625,5,NY,"[(Taxation, 14), (Health, 11), (International affairs, 11), (Congress, 8), (Immigration, 8)]","[(Congress, 2), (None, 1), (Economics and public finance, 1), (Civil rights and liberties, minority issues, 1), (Water resources development, 1)]",263,94.68,blue,20,0,senate,115
H001042,7,33,200,0.766583851,22,-0.492,2.28,Mazie Hirono,D,5,33,0.950994318,2,HI,"[(Armed forces and national security, 29), (Health, 26), (Crime and law enforcement, 17), (Government operations and politics, 15), (Taxation, 13)]","[(Armed forces and national security, 6), (Health, 4), (Civil rights and liberties, minority issues, 4), (Immigration, 3), (Education, 3)]",263,93,blue,20,0.212121212,senate,115
H001046,6,18,157,0.711661458,36,-0.283,1.52,Martin Heinrich,D,5,18,0.694010417,34,NM,"[(Health, 23), (Armed forces and national security, 17), (Public lands and natural resources, 15), (Taxation, 11), (Government operations and politics, 10)]","[(Public lands and natural resources, 4), (None, 2), (Energy, 2), (Emergency management, 1), (Government operations and politics, 1)]",263,93.44,blue,20,0.333333333,senate,115
G000562,16,24,142,0.774647887,33,0.456,0,Cory Gardner,R,3,24,0.517045455,14,CO,"[(International affairs, 32), (Health, 17), (Taxation, 12), (Public lands and natural resources, 11), (Armed forces and national security, 9)]","[(Public lands and natural resources, 5), (Government operations and politics, 4), (Energy, 4), (Congress, 3), (International affairs, 2)]",263,97.72,red,20,0.666666667,senate,115
R000584,6,13,126,0.638528139,52,0.631,0.38,Jim Risch,R,9,13,0.403846154,37,ID,"[(Public lands and natural resources, 17), (Labor and employment, 12), (International affairs, 11), (Health, 10), (Crime and law enforcement, 10)]","[(Commerce, 5), (Animals, 2), (Labor and employment, 2), (Public lands and natural resources, 2), (Government operations and politics, 1)]",263,96.18,red,20,0.461538462,senate,115
S000770,6,24,190,0.72122698,35,-0.327,1.52,Debbie Stabenow,D,17,24,0.647460938,39,MI,"[(Health, 43), (Taxation, 23), (Armed forces and national security, 18), (International affairs, 11), (Public lands and natural resources, 11)]","[(Health, 7), (Taxation, 6), (Water resources development, 2), (Public lands and natural resources, 2), (Government operations and politics, 1)]",263,93.44,blue,20,0.25,senate,115
P000612,5,10,136,0.77540107,32,0.659,0.38,David Perdue,R,3,10,0.731818182,5,GA,"[(International affairs, 19), (Crime and law enforcement, 14), (Finance and financial sector, 14), (Armed forces and national security, 12), (Labor and employment, 11)]","[(Finance and financial sector, 4), (Government operations and politics, 1), (Crime and law enforcement, 1), (Armed forces and national security, 1), (International affairs, 1)]",263,96.95,red,20,0.5,senate,115
L000577,7,28,97,0.653701968,51,0.921,0.38,Mike Lee,R,7,28,0.329545455,45,UT,"[(Crime and law enforcement, 15), (Health, 9), (Government operations and politics, 7), (Finance and financial sector, 7), (Taxation, 6)]","[(Crime and law enforcement, 5), (Economics and public finance, 3), (Labor and employment, 3), (International affairs, 3), (Commerce, 2)]",263,90.46,red,20,0.25,senate,115
L000575,3,19,101,0.740324032,43,0.562,0,James Lankford,R,3,19,0.45215311,24,OK,"[(Crime and law enforcement, 17), (Government operations and politics, 11), (Native Americans, 8), (Health, 7), (Finance and financial sector, 7)]","[(Government operations and politics, 11), (International affairs, 2), (Health, 2), (Congress, 1), (Taxation, 1)]",263,96.2,red,20,0.157894737,senate,115
J000293,10,21,91,0.766733267,34,0.594,0.38,Ron Johnson,R,7,21,0.772727273,2,WI,"[(Government operations and politics, 15), (International affairs, 12), (Crime and law enforcement, 9), (Health, 7), (Congress, 5)]","[(Government operations and politics, 6), (Crime and law enforcement, 2), (Labor and employment, 2), (Emergency management, 1), (Animals, 1)]",263,97.71,red,20,0.476190476,senate,115
H001076,3,6,209,0.700010897,38,,0,Margaret Hassan,D,1,6,0.8125,18,NH,"[(Health, 28), (Crime and law enforcement, 21), (Taxation, 20), (Government operations and politics, 18), (Labor and employment, 13)]","[(Emergency management, 1), (Government operations and politics, 1), (Taxation, 1), (Transportation and public works, 1), (Health, 1)]",263,95.44,blue,20,0.5,senate,115
C000880,10,23,112,0.783279221,28,0.507,0,Michael Crapo,R,19,23,0.345849802,44,ID,"[(Crime and law enforcement, 16), (Armed forces and national security, 15), (Public lands and natural resources, 14), (Health, 10), (Energy, 7)]","[(Taxation, 4), (Finance and financial sector, 3), (Armed forces and national security, 3), (Health, 2), (Public lands and natural resources, 2)]",263,97.34,red,20,0.434782609,senate,115
D000607,13,18,121,1,1,-0.12,1.9,Joe Donnelly,D,5,18,0.9140625,5,IN,"[(Health, 24), (Taxation, 17), (Armed forces and national security, 12), (Finance and financial sector, 9), (International affairs, 7)]","[(Health, 3), (Armed forces and national security, 2), (Agriculture and food, 1), (Crime and law enforcement, 1), (Education, 1)]",263,80.23,blue,20,0.722222222,senate,115
M000355,7,22,39,0.938228438,3,0.404,0,Mitch McConnell,R,33,22,0.694214876,6,KY,"[(Labor and employment, 7), (Crime and law enforcement, 5), (Education, 4), (Finance and financial sector, 3), (Congress, 2)]","[(Congress, 14), (Government operations and politics, 2), (Economics and public finance, 1), (Energy, 1), (International affairs, 1)]",263,98.1,red,20,0.318181818,senate,115
C001070,22,42,179,0.783742207,17,-0.298,0,Bob Casey,D,11,42,0.783482143,22,PA,"[(Health, 27), (Taxation, 22), (International affairs, 17), (Armed forces and national security, 16), (Crime and law enforcement, 16)]","[(Health, 10), (Taxation, 8), (Labor and employment, 7), (Education, 3), (Crime and law enforcement, 2)]",263,96.58,blue,20,0.523809524,senate,115
C001071,6,11,32,0.965909091,2,0.391,0.76,Bob Corker,R,11,11,0.766528926,3,TN,"[(Crime and law enforcement, 7), (Congress, 4), (Taxation, 3), (International affairs, 3), (Public lands and natural resources, 3)]","[(International affairs, 9), (Armed forces and national security, 1), (Congress, 1)]",263,95.02,red,20,0.545454545,senate,115
C001075,14,33,95,0.751196172,38,0.453,0.38,Bill Cassidy,R,3,33,0.385674931,41,LA,"[(Health, 17), (Crime and law enforcement, 13), (International affairs, 10), (Education, 9), (Public lands and natural resources, 8)]","[(Armed forces and national security, 7), (Health, 7), (Energy, 6), (Public lands and natural resources, 3), (Taxation, 3)]",263,98.47,red,20,0.424242424,senate,115
M001183,13,25,122,0.891185555,5,-0.063,0,Joe Manchin III,D,9,25,0.8165625,17,WV,"[(Armed forces and national security, 24), (Health, 16), (Crime and law enforcement, 12), (International affairs, 10), (Public lands and natural resources, 10)]","[(Health, 6), (Armed forces and national security, 5), (Energy, 4), (Labor and employment, 3), (Science, technology, communications, 2)]",263,73.38,blue,20,0.52,senate,115
B001267,14,26,169,0.77082338,21,-0.208,0.38,Michael Bennet,D,9,26,0.6328125,43,CO,"[(Health, 26), (Taxation, 19), (International affairs, 16), (Public lands and natural resources, 15), (Armed forces and national security, 13)]","[(Taxation, 4), (Public lands and natural resources, 4), (None, 4), (Environmental protection, 3), (Health, 2)]",263,91.22,blue,20,0.538461538,senate,115
B001261,8,19,87,0.718390805,45,0.528,0.38,John Barrasso,R,11,19,0.502392344,18,WY,"[(Health, 11), (Finance and financial sector, 10), (Environmental protection, 9), (Taxation, 8), (Public lands and natural resources, 7)]","[(Public lands and natural resources, 4), (Water resources development, 3), (Energy, 2), (Animals, 1), (Congress, 1)]",263,98.09,red,20,0.421052632,senate,115
S000320,2,6,34,0.915775401,4,0.433,1.14,Richard Shelby,R,31,6,0.609848485,9,AL,"[(Crime and law enforcement, 5), (Congress, 5), (Health, 4), (Immigration, 3), (International affairs, 3)]","[(Congress, 3), (Economics and public finance, 2), (Taxation, 1)]",263,97.31,red,20,0.333333333,senate,115
F000463,12,23,89,0.794177732,25,0.474,0,Deb Fischer,R,5,23,0.470355731,22,NE,"[(Health, 14), (Crime and law enforcement, 8), (Government operations and politics, 8), (Taxation, 7), (Science, technology, communications, 7)]","[(Transportation and public works, 6), (Government operations and politics, 4), (Environmental protection, 4), (Taxation, 2), (Science, technology, communications, 2)]",263,98.1,red,20,0.52173913,senate,115
K000367,27,49,298,0.796948601,12,-0.239,0,Amy Klobuchar,D,11,49,0.845663265,13,MN,"[(Health, 59), (Taxation, 37), (Crime and law enforcement, 25), (Armed forces and national security, 22), (Government operations and politics, 18)]","[(Health, 6), (Government operations and politics, 5), (Crime and law enforcement, 4), (Commerce, 4), (Science, technology, communications, 4)]",263,96.58,blue,20,0.551020408,senate,115
D000618,25,38,138,0.782279315,30,0.53,0,Steve Daines,R,3,38,0.431220096,33,MT,"[(Health, 16), (Armed forces and national security, 15), (Crime and law enforcement, 15), (Government operations and politics, 13), (Public lands and natural resources, 12)]","[(Government operations and politics, 9), (Public lands and natural resources, 4), (Civil rights and liberties, minority issues, 3), (Taxation, 3), (Economics and public finance, 2)]",263,96.58,red,20,0.657894737,senate,115
G000386,49,61,113,0.8769107,9,0.341,0,Charles Grassley,R,37,61,0.521609538,13,IA,"[(Health, 29), (Crime and law enforcement, 17), (Armed forces and national security, 10), (Government operations and politics, 9), (Finance and financial sector, 7)]","[(Crime and law enforcement, 13), (Health, 11), (Government operations and politics, 6), (Education, 5), (Immigration, 4)]",263,97.34,red,20,0.803278689,senate,115
C000174,5,11,122,0.778247293,19,-0.174,1.9,Thomas Carper,D,17,11,0.886363636,9,DE,"[(Government operations and politics, 22), (Health, 15), (Immigration, 12), (Taxation, 9), (Civil rights and liberties, minority issues, 8)]","[(Government operations and politics, 2), (Taxation, 2), (Health, 2), (Public lands and natural resources, 2), (Immigration, 1)]",263,90.7,blue,20,0.454545455,senate,115
P000449,20,30,132,0.69731405,46,0.375,1.14,Rob Portman,R,7,30,0.540909091,12,OH,"[(Health, 20), (Taxation, 18), (International affairs, 15), (Crime and law enforcement, 11), (Government operations and politics, 6)]","[(Government operations and politics, 5), (Crime and law enforcement, 3), (Health, 3), (Energy, 3), (Economics and public finance, 2)]",263,97.31,red,20,0.666666667,senate,115
C001088,19,23,267,0.795651398,13,-0.283,3.8,Christopher Coons,D,9,23,0.940557065,3,DE,"[(International affairs, 55), (Health, 37), (Crime and law enforcement, 28), (Taxation, 21), (Government operations and politics, 19)]","[(Commerce, 4), (Taxation, 4), (Public lands and natural resources, 3), (Law, 2), (International affairs, 2)]",263,92.89,blue,20,0.826086957,senate,115
H001075,4,8,143,0.688485428,40,,0.38,Kamala Harris,D,1,8,0.9140625,5,CA,"[(Health, 16), (Civil rights and liberties, minority issues, 14), (Immigration, 13), (Crime and law enforcement, 12), (Labor and employment, 9)]","[(Public lands and natural resources, 2), (Crime and law enforcement, 1), (Water resources development, 1), (Congress, 1), (Immigration, 1)]",263,84.73,blue,20,0.5,senate,115
S001141,0,0,1,0.454545455,53,0.549,65,Jeff Sessions,R,21,0,0,53,AL,"[(Public lands and natural resources, 1)]",[],60,90.48,red,20,,senate,115
H001041,29,44,133,0.813397129,19,0.461,3.8,Dean Heller,R,7,44,0.502582645,17,NV,"[(Armed forces and national security, 19), (Health, 14), (Taxation, 14), (Crime and law enforcement, 12), (Finance and financial sector, 10)]","[(Armed forces and national security, 11), (Public lands and natural resources, 8), (Taxation, 7), (Finance and financial sector, 4), (International affairs, 3)]",263,90.91,red,20,0.659090909,senate,115
F000062,12,42,249,0.79481487,14,-0.263,9.13,Dianne Feinstein,D,25,42,0.768973214,24,CA,"[(Crime and law enforcement, 39), (International affairs, 27), (Health, 20), (Government operations and politics, 19), (Armed forces and national security, 17)]","[(None, 9), (Crime and law enforcement, 5), (Immigration, 5), (Health, 4), (Public lands and natural resources, 4)]",263,94.14,blue,20,0.285714286,senate,115
Y000064,8,12,99,0.782828283,29,0.489,0.76,Todd Young,R,1,12,0.4375,31,IN,"[(International affairs, 20), (Health, 14), (Crime and law enforcement, 9), (Taxation, 9), (Labor and employment, 7)]","[(International affairs, 4), (Social welfare, 3), (Education, 2), (Finance and financial sector, 1), (Families, 1)]",263,98.47,red,20,0.666666667,senate,115
I000024,9,16,140,0.75974026,35,0.551,1.52,James Inhofe,R,25,16,0.367897727,43,OK,"[(International affairs, 19), (Armed forces and national security, 15), (Environmental protection, 14), (Crime and law enforcement, 13), (Health, 11)]","[(Energy, 4), (Transportation and public works, 4), (Environmental protection, 2), (Armed forces and national security, 2), (Government operations and politics, 1)]",263,97.68,red,20,0.5625,senate,115
G000555,14,31,283,0.647981915,48,-0.334,0,Kirsten Gillibrand,D,9,31,0.688004032,35,NY,"[(Health, 47), (Taxation, 27), (Crime and law enforcement, 26), (Government operations and politics, 23), (Armed forces and national security, 20)]","[(Crime and law enforcement, 3), (Armed forces and national security, 3), (Public lands and natural resources, 3), (Commerce, 2), (Families, 2)]",263,79.85,blue,20,0.451612903,senate,115
W000805,22,28,117,0.787952788,16,-0.197,2.66,Mark Warner,D,9,28,0.837890625,14,VA,"[(Health, 11), (Government operations and politics, 11), (Armed forces and national security, 9), (Taxation, 9), (Finance and financial sector, 9)]","[(Health, 6), (Taxation, 4), (Government operations and politics, 3), (Armed forces and national security, 3), (Finance and financial sector, 2)]",263,86.72,blue,20,0.785714286,senate,115
P000595,17,26,209,0.789909557,15,-0.232,1.14,Gary Peters,D,3,26,0.7265625,29,MI,"[(Armed forces and national security, 27), (International affairs, 22), (Taxation, 20), (Health, 19), (Government operations and politics, 16)]","[(Government operations and politics, 4), (Armed forces and national security, 3), (Finance and financial sector, 2), (Commerce, 2), (Crime and law enforcement, 2)]",263,92.31,blue,20,0.653846154,senate,115
M000133,7,38,269,0.652835823,46,-0.5,0.38,Edward Markey,D,5,38,0.633429276,41,MA,"[(Health, 31), (International affairs, 30), (Government operations and politics, 23), (Crime and law enforcement, 21), (Armed forces and national security, 20)]","[(International affairs, 7), (Transportation and public works, 5), (Energy, 5), (Armed forces and national security, 4), (Science, technology, communications, 4)]",263,87.79,blue,20,0.184210526,senate,115
C001098,7,33,118,0.866718028,11,0.884,1.52,Ted Cruz,R,5,33,0.448347107,25,TX,"[(Crime and law enforcement, 26), (International affairs, 20), (Armed forces and national security, 6), (Health, 6), (Immigration, 6)]","[(International affairs, 10), (Government operations and politics, 3), (None, 3), (Immigration, 3), (Health, 2)]",263,97.3,red,20,0.212121212,senate,115
C001095,3,15,139,0.755395683,36,0.619,0,Tom Cotton,R,3,15,0.318181818,48,AR,"[(Armed forces and national security, 21), (Health, 21), (International affairs, 18), (Finance and financial sector, 10), (Crime and law enforcement, 9)]","[(Armed forces and national security, 3), (International affairs, 3), (Animals, 2), (Immigration, 2), (Crime and law enforcement, 1)]",263,97.72,red,20,0.2,senate,115
B000944,16,39,275,0.722401656,32,-0.44,0,Sherrod Brown,D,11,39,0.65625,38,OH,"[(Health, 53), (Armed forces and national security, 38), (Taxation, 32), (Government operations and politics, 20), (Labor and employment, 20)]","[(Taxation, 12), (Health, 10), (Armed forces and national security, 3), (Labor and employment, 2), (None, 2)]",263,93.92,blue,20,0.41025641,senate,115
C000141,22,54,181,0.730791668,29,-0.329,0,Benjamin Cardin,D,11,54,0.789930556,21,MD,"[(Health, 35), (International affairs, 24), (Taxation, 23), (Government operations and politics, 13), (Civil rights and liberties, minority issues, 11)]","[(International affairs, 22), (Health, 6), (Government operations and politics, 5), (Public lands and natural resources, 4), (Taxation, 3)]",263,96.2,blue,20,0.407407407,senate,115
H001061,9,19,77,0.84120425,14,0.338,0.76,John Hoeven,R,7,19,0.443779904,27,ND,"[(Taxation, 10), (Health, 9), (Crime and law enforcement, 8), (Armed forces and national security, 7), (International affairs, 6)]","[(Native Americans, 6), (Agriculture and food, 2), (Armed forces and national security, 2), (Taxation, 2), (Crime and law enforcement, 1)]",263,99.62,red,20,0.473684211,senate,115
R000122,10,20,162,0.678871763,41,-0.39,0,Jack Reed,D,21,20,0.746484375,25,RI,"[(Health, 20), (Taxation, 18), (Education, 15), (International affairs, 14), (Government operations and politics, 12)]","[(Finance and financial sector, 5), (Armed forces and national security, 3), (Education, 3), (Health, 2), (Taxation, 2)]",263,95.44,blue,20,0.5,senate,115
M000639,10,32,181,0.734943893,25,-0.36,24.33,Robert Menendez,D,12,32,0.856933594,12,NJ,"[(International affairs, 36), (Health, 16), (Armed forces and national security, 14), (Taxation, 12), (Crime and law enforcement, 12)]","[(International affairs, 6), (Taxation, 4), (Health, 4), (Finance and financial sector, 3), (Civil rights and liberties, minority issues, 3)]",263,93.97,blue,20,0.3125,senate,115
H001069,10,22,128,0.886597438,6,-0.129,0,Heidi Heitkamp,D,5,22,0.886363636,9,ND,"[(Health, 21), (Taxation, 13), (Crime and law enforcement, 10), (Finance and financial sector, 10), (Government operations and politics, 8)]","[(Health, 5), (Taxation, 4), (Native Americans, 3), (Finance and financial sector, 2), (Government operations and politics, 2)]",263,77.19,blue,20,0.454545455,senate,115
F000444,15,47,80,0.732954545,44,0.855,3.8,Jeff Flake,R,5,47,0.429883946,34,AZ,"[(Crime and law enforcement, 9), (Public lands and natural resources, 7), (International affairs, 7), (Environmental protection, 7), (Finance and financial sector, 6)]","[(Public lands and natural resources, 8), (Energy, 5), (Armed forces and national security, 4), (Taxation, 4), (Government operations and politics, 3)]",263,95.26,red,20,0.319148936,senate,115
H000338,32,62,137,0.897478434,5,0.382,0,Orrin Hatch,R,41,62,0.390029326,40,UT,"[(Crime and law enforcement, 27), (International affairs, 14), (Labor and employment, 11), (Education, 11), (Armed forces and national security, 10)]","[(Crime and law enforcement, 9), (Health, 6), (Labor and employment, 5), (Taxation, 4), (Public lands and natural resources, 4)]",263,98.48,red,20,0.516129032,senate,115
R000307,8,14,123,0.689209165,48,0.415,0,Pat Roberts,R,21,14,0.545454545,11,KS,"[(Taxation, 18), (Health, 15), (Armed forces and national security, 12), (Labor and employment, 12), (International affairs, 10)]","[(Taxation, 4), (Health, 3), (Government operations and politics, 2), (Congress, 2), (Public lands and natural resources, 2)]",263,98.86,red,20,0.571428571,senate,115
